Video_Title,Views,Posted,Url
The data science machine!! (Lenovo ThinkPad P15 unboxing),15K ,4 months ago,https://www.youtube.com/watch?v=jeGZLpqWdY8
I wrote a program to automatically post a video if I hit 1000 subscribers!,5.6K ,6 months ago,https://www.youtube.com/watch?v=PkF1s65ruHM
"Learn Python, Programming, & Data Science | 2021 Channel Trailer",15K ,6 months ago,https://www.youtube.com/watch?v=OmvjQGSsKaE
Solving Coding Interview Questions in Python on LeetCode (easy & medium problems),27K ,7 months ago,https://www.youtube.com/watch?v=qnSF8YaPx78
How to Schedule & Automatically Run Python Code!,28K ,8 months ago,https://www.youtube.com/watch?v=aqnJvXOIr6g
How to Generate an Analytics Report (pdf) in Python!,61K ,9 months ago,https://www.youtube.com/watch?v=UmN2_R4KEg8
Solving real world data science tasks with Python Beautiful Soup! (movie dataset creation),113K ,10 months ago,https://www.youtube.com/watch?v=Ewgy-G9cmbg
"How to Make a High Quality Tutorial Video! (workflow, camera equipment, and software tools)",14K ,1 year ago,https://www.youtube.com/watch?v=LEO4igyXbLs
"Comprehensive Python Beautiful Soup Web Scraping Tutorial! (find/find_all, css select, scrape table)",126K ,1 year ago,https://www.youtube.com/watch?v=GjKQ6V_ViQE
Real-World Python Neural Nets Tutorial (Image Classification w/ CNN) | Tensorflow & Keras,40K ,1 year ago,https://www.youtube.com/watch?v=44U8jJxaNp8
Introduction to Neural Networks in Python (what you need to know) | Tensorflow/Keras,36K ,1 year ago,https://www.youtube.com/watch?v=aBIGJeHRZLQ
Python Data Science Project Ideas! (for all skill levels),47K ,1 year ago,https://www.youtube.com/watch?v=V5_waf_9_rU
Professional Code Refactor! (Cleaning Python Code & Rewriting it to use Classes),20K ,1 year ago,https://www.youtube.com/watch?v=731LoaZCUjo
Everything you need to know about Classes in Python! (Object Oriented Programming Tutorial),84K ,1 year ago,https://www.youtube.com/watch?v=tmY6FEF8f1o
"Generating Mock Data with Python! (NumPy, Pandas, & Datetime Libraries)",15K ,1 year ago,https://www.youtube.com/watch?v=VJBY2eVtf7o
Solving real world data science tasks with Python Pandas!,610K ,1 year ago,https://www.youtube.com/watch?v=eMOA1pPVUc4
Programming More Trees in Python! (Recursion & Artwork),16K ,1 year ago,https://www.youtube.com/watch?v=VUYPWxTe4Nw
Programming Trees in Python! (with the turtle graphics library),12K ,1 year ago,https://www.youtube.com/watch?v=WG42fyCMsD0
How to Prepare for a Programming Interview! (Tips & Tricks),5.4K ,1 year ago,https://www.youtube.com/watch?v=XNP2mUlGVOk
"Real-World Python Machine Learning Tutorial w/ Scikit Learn (sklearn basics, NLP, classifiers, etc)",121K ,1 year ago,https://www.youtube.com/watch?v=M9Itm95JzL0
"Complete Python NumPy Tutorial (Creating Arrays, Indexing, Math, Statistics, Reshaping)",501K ,2 years ago,https://www.youtube.com/watch?v=GB9ByFAIAH4
"Python Plotting Tutorial w/ Matplotlib & Pandas (Line Graph, Histogram, Pie Chart, Box & Whiskers)",158K ,2 years ago,https://www.youtube.com/watch?v=0P7QnIQDBJY
"Intro to Data Visualization in Python with Matplotlib! (line graph, bar chart, title, labels, size)",116K ,2 years ago,https://www.youtube.com/watch?v=DAQNHzOcO5A
How to Program a GUI Application (with Python Tkinter)!,776K ,2 years ago,https://www.youtube.com/watch?v=D8-snVfekto
How to Program a Connect 4 AI (implementing the minimax algorithm),67K ,2 years ago,https://www.youtube.com/watch?v=MMLtza3CZFM
"Programming Rock, Paper, Scissors with no If Statements (Python)",7.6K ,2 years ago,https://www.youtube.com/watch?v=tdf8WlPyS1M
"How to program Rock, Paper, Scissors in Python!",29K ,2 years ago,https://www.youtube.com/watch?v=8TCtYbt7ARI
"Complete Python Pandas Data Science Tutorial! (Reading CSV/Excel files, Sorting, Filtering, Groupby)",1.4M ,2 years ago,https://www.youtube.com/watch?v=vmEHCJofslg
Thank you 1000+ Subscribers! :) + channel update,876 ,2 years ago,https://www.youtube.com/watch?v=3hcNFc-bw38
How to Program a Conversation with Alexa (Python & AWS Lambda) - Part 2,9.6K ,3 years ago,https://www.youtube.com/watch?v=-MOvJ3eklr0
